name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
God of War,"His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.","Action, Singleplayer, Story Rich, Adventure, Mythology, Combat, Third Person, RPG, Hack and Slash, Violent, Open World, Fantasy, Exploration, Atmospheric, Gore, Action RPG, Emotional, Souls-like, 3D, PvE",2022-01-14,"Santa Monica Studio, Jetpack Interactive",PlayStation Publishing LLC,Overwhelmingly Positive,"(99,229)",65288,https://store.steampowered.com/app/1593500/God_of_War?snr=1_category_4_rpg_100727
Fallout 4,"Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.","Open World, Post-apocalyptic, Singleplayer, Exploration, RPG, Adventure, Atmospheric, Shooter, First-Person, Story Rich, Action, Sci-fi, FPS, Action RPG, Sandbox, Great Soundtrack, Third Person, Survival, Third-Person Shooter, Character Customization",2015-11-10,Bethesda Game Studios,Bethesda Softworks,Very Positive,"(250,033)",229674,https://store.steampowered.com/app/377160/Fallout_4?snr=1_category_4_rpg_100727
TROUBLESHOOTER: Abandoned Children,TROUBLESHOOTER: Abandoned Children is the first season of a turn-based strategy SRPG that takes place in the world of Troubleshooter.,"CRPG, Tactical RPG, Turn-Based Tactics, Turn-Based, Strategy RPG, Wargame, Turn-Based Strategy, Female Protagonist, Party-Based RPG, JRPG, RPG, Strategy, Controller, Colorful, Lore-Rich, Turn-Based Combat, Story Rich, Atmospheric, 2D, Superhero",2020-04-23,Dandylion,Dandylion,Very Positive,"(8,314)",2979,https://store.steampowered.com/app/470310/TROUBLESHOOTER_Abandoned_Children?snr=1_category_4_rpg_100727
DAVE THE DIVER,"DAVE THE DIVER is a casual, singleplayer adventure RPG featuring deep-sea exploration and fishing during the day and sushi restaurant management at night. Join Dave and his quirky friends as they seek to uncover the secrets of the mysterious Blue Hole.","Pixel Graphics, Casual, Management, Adventure, Relaxing, RPG, Fishing, Exploration, Simulation, Underwater, Singleplayer, Farming Sim, 2D, Crafting, Story Rich, Roguelite, Funny, Agriculture, Action, Indie",2023-06-28,MINTROCKET,MINTROCKET,Overwhelmingly Positive,"(102,517)",40436,https://store.steampowered.com/app/1868140/DAVE_THE_DIVER?snr=1_category_4_rpg_100727
The Elder Scrolls V: Skyrim Special Edition,"Winner of more than 200 Game of the Year Awards, The Elder Scrolls V: Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features.","Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Moddable, Dragons, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator",2016-10-28,Bethesda Game Studios,Bethesda Softworks,Very Positive,"(168,427)",184153,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition?snr=1_category_4_rpg_100727
Yakuza 0,"SEGA’s legendary Japanese series finally comes to PC. Fight like hell through Tokyo and Osaka as junior yakuza Kiryu and Majima. Take a front row seat to 1980s life in Japan in an experience unlike anything else in video gaming, with uncapped framerates and 4K resolutions. A legend is born.","Story Rich, Action, 'Beat em up', Great Soundtrack, Open World, Crime, RPG, Minigames, Funny, Singleplayer, Violent, Mature, Adventure, Comedy, Sexual Content, Third Person, Drama, Atmospheric, JRPG, Dating Sim",2018-08-01,Ryu Ga Gotoku Studio,SEGA,Overwhelmingly Positive,"(54,903)",42398,https://store.steampowered.com/app/638970/Yakuza_0?snr=1_category_4_rpg_100727
Mount & Blade: Warband,"In a land torn asunder by incessant warfare, it is time to assemble your own band of hardened warriors and enter the fray. Lead your men into battle, expand your realm, and claim the ultimate prize: the throne of Calradia!","Medieval, RPG, Open World, Strategy, Sandbox, Multiplayer, Action, Moddable, Military, Adventure, Horses, Singleplayer, Realistic, First-Person, Historical, Third Person, Simulation, Hack and Slash, Fantasy, Indie",2010-03-31,TaleWorlds Entertainment,TaleWorlds Entertainment,Overwhelmingly Positive,"(127,977)",66413,https://store.steampowered.com/app/48700/Mount__Blade_Warband?snr=1_category_4_rpg_100727
Mount & Blade II: Bannerlord,"A strategy/action RPG. Create a character, engage in diplomacy, craft, trade and conquer new lands in a vast medieval sandbox. Raise armies to lead into battle and command and fight alongside your troops in massive real-time battles using a deep but intuitive skill-based combat system.","Medieval, Strategy, Open World, RPG, War, Sandbox, Multiplayer, Singleplayer, Action, Character Customization, Simulation, Moddable, Adventure, Horses, Realistic, Third Person, Historical, First-Person, Great Soundtrack, Early Access",2022-10-25,TaleWorlds Entertainment,TaleWorlds Entertainment,Very Positive,"(194,924)",100581,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord?snr=1_category_4_rpg_100727
Kenshi,"A free-roaming squad based RPG. Focusing on open-ended sandbox gameplay features rather than a linear story. Be a trader, a thief, a rebel, a warlord, an adventurer, a farmer, a slave, or just food for the cannibals. Train your men up from puny victims to master warriors.","Open World, Sandbox, RPG, Survival, Strategy, Building, Base Building, Singleplayer, Post-apocalyptic, Crafting, City Builder, Indie, Simulation, Adventure, Management, RTS, Character Customization, Ninja, Alternate History, Steampunk",2018-12-06,Lo-Fi Games,Lo-Fi Games,Overwhelmingly Positive,"(74,177)",45382,https://store.steampowered.com/app/233860/Kenshi?snr=1_category_4_rpg_100727
EA SPORTS FC™ 25,"EA SPORTS FC™ 25 gives you more ways to win for the club. Team up with friends in your favourite modes with the new 5v5 Rush, and manage your club to victory as FC IQ delivers more tactical control than ever before.","Simulation, Sports, Football (Soccer), eSports, Controller, Competitive, Multiplayer, Family Friendly, Local Co-Op, Local Multiplayer, Online Co-Op, Modern, PvP, Singleplayer, Realistic, Soundtrack, Co-op",2024-09-26,EA Canada & EA Romania,Electronic Arts,Mixed,"(50% of 2,594) All Time",998,https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25?snr=1_category_4_simulation_salebrowseall
Frostpunk 2,"Develop, expand, and advance your city in a society survival game set 30 years after an apocalyptic blizzard ravaged Earth. In Frostpunk 2, you face not only the perils of never-ending winter, but also the powerful factions that watch your every step inside the Council Hall.","Strategy, City Builder, Survival, Resource Management, Post-apocalyptic, Simulation, Singleplayer, Sequel, Steampunk, Atmospheric, Violent, Choices Matter, Great Soundtrack, Management, Base Building, Snow, Colony Sim, Political Sim, Politics, Psychological Horror",2024-09-20,11 bit studios,11 bit studios,Mostly Positive,"(71% of 4,986) All Time",2644,https://store.steampowered.com/app/1601580/Frostpunk_2?snr=1_category_4_simulation_salebrowseall
NBA 2K25,"Command every court with authenticity and realism Powered by ProPLAY™, giving you ultimate control over how you play in NBA 2K25. Define your legacy in MyCAREER, MyTEAM, MyNBA, and The W.","Sports, Basketball, Simulation, eSports, 3D, Immersive Sim, Management, PvP, Character Customization, Controller, Deckbuilding, Team-Based, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local",2024-09-03,Visual Concepts,2K,Mixed,"(57% of 4,031) All Time",2128,https://store.steampowered.com/app/2878980/NBA_2K25?snr=1_category_4_simulation_salebrowseall
TCG Card Shop Simulator,"Open your own local game store. Stock shelves with the latest booster packs, or crack them and collect the cards for yourself. Set your own prices, hire staff, host events, and expand your card shop.","Simulation, Management, Collectathon, Economy, Capitalism, Singleplayer, Early Access, Immersive Sim, Trading Card Game, Trading, Life Sim, 3D, First-Person, Card Game, Relaxing, Casual, Multiplayer",2024-09-15,OPNeon Games,OPNeon Games,Overwhelmingly Positive,"(96% of 3,122) All Time",2082,https://store.steampowered.com/app/3070070/TCG_Card_Shop_Simulator?snr=1_category_4_simulation_salebrowseall
The Sims™ 4,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more.,"Life Sim, Character Customization, Building, Free to Play, Multiplayer, Romance, Sandbox, Simulation, Singleplayer, Relaxing, Dating Sim, Casual, Realistic, Funny, Cute, Family Friendly, Immersive Sim, Fantasy, Adventure, Cartoony",2014-09-02,Maxis,Electronic Arts,Very Positive,"(149,708)",79309,https://store.steampowered.com/app/1222670/The_Sims_4?snr=1_category_4_simulation_salebrowseall
War Thunder,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.","Simulation, Free to Play, Vehicular Combat, Combat, World War II, VR, Flight, War, Military, Tanks, Naval Combat, Multiplayer, Massively Multiplayer, Modern, Cold War, Action, Realistic, Shooter, Third Person, Third-Person Shooter",2013-08-15,Gaijin Entertainment,Gaijin Network Ltd,Mostly Positive,"(543,497)",231369,https://store.steampowered.com/app/236390/War_Thunder?snr=1_category_4_simulation_salebrowseall
Euro Truck Simulator 2,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Exploration, Immersive Sim, Economy, Management, Atmospheric, Multiplayer, Controller, Family Friendly, Third Person, Adventure, Casual, Indie",2012-10-18,SCS Software,SCS Software,Overwhelmingly Positive,"(597,844)",152873,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2?snr=1_category_4_simulation_salebrowseall
Anno 1800,Anno 1800™ – Lead the Industrial Revolution! Welcome to the dawn of the Industrial Age. The path you choose will define your world. Are you an innovator or an exploiter? A conqueror or a liberator? How the world remembers your name is up to you.,"City Builder, Strategy, Simulation, Economy, Multiplayer, Resource Management, Sandbox, RTS, Exploration, Singleplayer, Management, Co-op, Historical, Political, Building, Choose Your Own Adventure, Politics, Choices Matter, Story Rich, Multiple Endings",2019-04-01,Ubisoft Mainz,Ubisoft,Very Positive,"(16,958)",7755,https://store.steampowered.com/app/916440/Anno_1800?snr=1_category_4_simulation_salebrowseall
American Truck Simulator,"Experience legendary American trucks and deliver various cargoes across sunny California, sandy Nevada, and the Grand Canyon State of Arizona. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States.","Automobile Sim, Driving, Open World, Transportation, Simulation, America, Realistic, Moddable, Relaxing, Exploration, Economy, Management, Atmospheric, Immersive Sim, Multiplayer, Singleplayer, Adventure, Casual, Family Friendly, Level Editor",2016-02-02,SCS Software,SCS Software,Overwhelmingly Positive,"(131,247)",88406,https://store.steampowered.com/app/270880/American_Truck_Simulator?snr=1_category_4_simulation_salebrowseall
Yu-Gi-Oh! Master Duel,"Yu-Gi-Oh! MASTER DUEL is the ultimate free-to-play cross-platform strategy card game with fast-paced Duels, stunning HD graphics and a new, dynamic soundtrack! Get ready to challenge Duelists around the world!","Card Game, Free to Play, Strategy, Trading Card Game, Multiplayer, PvP, Card Battler, Anime, Simulation, Turn-Based Tactics, Tactical, Singleplayer, eSports, Dragons, Fantasy, PvE, 3D, 2D, Great Soundtrack, Sexual Content",2022-01-18,KONAMI,KONAMI,Mostly Positive,"(76,889)",40177,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel?snr=1_category_4_simulation_salebrowseall
BeamNG.drive,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,"Simulation, Driving, Realistic, Physics, Destruction, Automobile Sim, Open World, Sandbox, Racing, Moddable, Multiplayer, Singleplayer, Early Access, First-Person, Third Person, Funny, Exploration, Action, Adventure, Flight",2015-05-29,BeamNG,BeamNG,Overwhelmingly Positive,"(249,828)",153049,https://store.steampowered.com/app/284160/BeamNGdrive?snr=1_category_4_simulation_salebrowseall
eFootball™,The feverish football game with a worldwide total of 750 million downloads is waiting for you! Play eFootball™ with users around the world!,"Football (Soccer), Free to Play, Controller, Sports, Multiplayer, eSports, Simulation, PvP, Local Multiplayer, Co-op, Singleplayer, Online Co-Op, Local Co-Op, Realistic, Comedy, Memes, Violent, LGBTQ+, Anime, Funny",2021-09-29,KONAMI,KONAMI,Mixed,"(80,277)",21184,https://store.steampowered.com/app/1665460/eFootball?snr=1_category_4_simulation_salebrowseall
Two Point Campus,"Build the university of your dreams with Two Point Campus, the sim with a twist from the makers of Two Point Hospital. Build, hire staff and run an academic institution packed with wild courses.","Management, Simulation, Strategy, Building, City Builder, Casual, Sandbox, Funny, Cartoony, Isometric, Comedy, Singleplayer, Family Friendly, Indie, Economy, Tactical, Replay Value, Retro, Education, Cute",2022-08-09,Two Point Studios,SEGA,Very Positive,"(3,661)",2522,https://store.steampowered.com/app/1649080/Two_Point_Campus?snr=1_category_4_simulation_salebrowseall
Assetto Corsa,"Assetto Corsa v1.16 introduces the new 'Laguna Seca' laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!","Racing, Automobile Sim, Simulation, Driving, Multiplayer, Realistic, VR, Sports, Moddable, Open World, Controller, Physics, Singleplayer, First-Person, Replay Value, Indie, Action, 3D Vision, TrackIR, Artificial Intelligence",2014-12-19,Kunos Simulazioni,Kunos Simulazioni,Very Positive,"(103,905)",58662,https://store.steampowered.com/app/244210/Assetto_Corsa?snr=1_category_4_simulation_salebrowseall
EA SPORTS™ Madden NFL 25,Hit like you mean it with FieldSENSE™ powered by BOOM Tech. Experience how the new physics-informed dynamic tackling system unlocks realistic collisions & new gameplay animations on both sides of the ball.,"Simulation, Strategy, Football (American), Sports, Competitive, Gambling, NSFW",2024-08-15,Tiburon,Electronic Arts,Mixed,(865),949,https://store.steampowered.com/app/2582560/EA_SPORTS_Madden_NFL_25?snr=1_category_4_simulation_salebrowseall
RimWorld,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.","Colony Sim, Base Building, Survival, Strategy, Sandbox, Management, Building, Simulation, Singleplayer, Moddable, City Builder, Open World, Procedural Generation, 2D, Sci-fi, Indie, Space, Tactical RPG, Western, Cartoony",2018-10-17,Ludeon Studios,Ludeon Studios,Overwhelmingly Positive,"(163,874)",117731,https://store.steampowered.com/app/294100/RimWorld?snr=1_category_4_simulation_salebrowseall
theHunter: Call of the Wild™,"Discover an atmospheric hunting game like no other in this realistic, stunning open world – regularly updated in collaboration with the community. Immerse yourself in the single player campaign, or share the ultimate hunting experience with friends.","Hunting, Open World, Multiplayer, Nature, Relaxing, Stealth, Sandbox, FPS, Simulation, Survival, Realistic, Online Co-Op, First-Person, America, Co-op, Walking Simulator, Immersive Sim, Shooter, Sports, Controller",2017-02-16,Expansive Worlds,Expansive Worlds,Very Positive,"(136,012)",59053,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild?snr=1_category_4_simulation_salebrowseall
